token,n_docs_present,n_docs_absent,prevalence,prevalence_pct,mean_outcome_present,mean_outcome_absent,delta_outcome,delta_pct_points,ci_low_outcome,ci_high_outcome,ci_low_pct_points,ci_high_pct_points,t_stat,df_welch,p_value,r_point_biserial,q_value,significant_fdr_05,abs_delta_pct_points
technology,1720,4421,0.28008467676274224,28.008467676274222,0.25945577355461075,0.4220125839215964,-0.16255681036698566,-16.255681036698565,-0.18267789957114586,-0.14243572116282546,-18.267789957114587,-14.243572116282547,-15.839649467335557,3656.2268981187485,1.0513568113365757e-54,-0.18504362695112123,5.256784056682878e-51,True,16.255681036698565
product,1098,5043,0.1787982413287738,17.87982413287738,0.22983520158027165,0.4084121579806008,-0.17857695640032917,-17.857695640032915,-0.20063686591728402,-0.1565170468833743,-20.063686591728402,-15.651704688337432,-15.876111941082879,1916.4352854443546,2.0225751484333125e-53,-0.1734664749154113,5.056437871083281e-50,True,17.857695640032915
women,895,5246,0.1457417358736362,14.574173587363621,0.573218336598225,0.3429186337735221,0.23029970282470286,23.029970282470284,0.20126691774715005,0.25933248790225566,20.126691774715006,25.933248790225566,15.563357112688214,1167.374996395816,9.007678435518166e-50,0.20599824507071382,1.5012797392530279e-46,True,23.029970282470284
companies,1314,4827,0.21397166585246702,21.3971665852467,0.2482578929362437,0.411388169196827,-0.16313027626058332,-16.313027626058332,-0.18458396127417787,-0.14167659124698878,-18.458396127417785,-14.167659124698877,-14.910670916298193,2429.419711708002,3.551963173697785e-48,-0.1695959144406531,4.439953967122231e-45,True,16.313027626058332
practice,3614,2527,0.5885035010584595,58.85035010584595,0.4356017598892529,0.2919338360868809,0.14366792380237203,14.366792380237204,0.12416056541309094,0.16317528219165311,12.416056541309093,16.31752821916531,14.4378517974129,5644.547374103551,1.992208398975232e-46,0.17922599204519926,1.992208398975232e-43,True,14.366792380237204
commercial,1347,4794,0.21934538348803126,21.934538348803127,0.2541999136290799,0.4108415269864284,-0.1566416133573485,-15.66416133573485,-0.17801248277743628,-0.1352707439372607,-17.80124827774363,-13.527074393726071,-14.372823116432915,2515.2824857136816,4.452533045536771e-45,-0.16431773600081492,3.710444204613976e-42,True,15.66416133573485
ltd,700,5441,0.11398794984530207,11.398794984530207,0.21433338486909917,0.39734390638172007,-0.1830105215126209,-18.30105215126209,-0.20743017105478576,-0.15859087197045604,-20.743017105478575,-15.859087197045604,-14.705550358342636,1059.1769894840086,1.0995061385567528e-44,-0.14743782779458597,7.853615275405378e-42,True,18.30105215126209
company,1791,4350,0.2916463116756229,29.164631167562288,0.2737813569890622,0.41876762153193053,-0.14498626454286834,-14.498626454286834,-0.1652155486547358,-0.12475698043100085,-16.521554865473583,-12.475698043100085,-14.051833044638345,3794.739678823326,9.21921637683766e-44,-0.16705664852148966,5.762010235523538e-41,True,14.498626454286834
products,1153,4988,0.18775443738804756,18.775443738804757,0.24669330139841852,0.4064844000639398,-0.1597910986655213,-15.979109866552129,-0.18203984021350494,-0.13754235711753765,-18.203984021350493,-13.754235711753765,-14.085035437496547,2001.3922894397717,4.963505028822836e-43,-0.15818851207523554,2.7575027937904645e-40,True,15.979109866552129
social,2621,3520,0.426803452206481,42.6803452206481,0.45617111288278944,0.31714689692202186,0.13902421596076758,13.902421596076758,0.11911016706559424,0.15893826485594093,11.911016706559424,15.893826485594092,13.686025877859647,5343.667057085725,6.225632303211662e-42,0.174317014396248,3.112816151605831e-39,True,13.902421596076758
manufacturing,383,5758,0.062367692558215275,6.236769255821527,0.1708919670407921,0.3901580306798688,-0.21926606363907672,-21.926606363907673,-0.2483989340290602,-0.19013319324909325,-24.839893402906018,-19.013319324909325,-14.787432607345579,498.1069414741799,2.7760819068888625e-41,-0.13441604708875085,1.2618554122222102e-38,True,21.926606363907673
professionals,1367,4774,0.2226021820550399,22.26021820550399,0.5061472096951248,0.33935448855845673,0.1667927211366681,16.67927211366681,0.14258749872251486,0.19099794355082134,14.258749872251485,19.099794355082132,13.513446950215545,2102.920732502831,5.7680300250533565e-40,0.1758923862729117,2.403345843772232e-37,True,16.67927211366681
market,1378,4763,0.22439342126689465,22.439342126689464,0.2629270644691545,0.4093361472166309,-0.14640908274747644,-14.640908274747645,-0.1680977213678972,-0.1247204441270557,-16.809772136789718,-12.47204441270557,-13.237093540531143,2517.852177258255,1.0212559865880868e-38,-0.15483794599773124,3.927907640723411e-36,True,14.640908274747645
children,1485,4656,0.2418172936003908,24.181729360039082,0.49703990360556016,0.33803206769266564,0.15900783591289452,15.900783591289452,0.13533719726761123,0.18267847455817782,13.533719726761124,18.267847455817783,13.172885614730593,2344.345034883427,2.780450715106266e-38,0.17259679295566405,9.930181125379522e-36,True,15.900783591289452
engineering,604,5537,0.09835531672366064,9.835531672366065,0.21386792475368632,0.3942216610944702,-0.1803537363407839,-18.03537363407839,-0.20714438575721106,-0.15356308692435672,-20.714438575721104,-15.356308692435672,-13.213454425063363,839.7824458553846,2.3683530032437135e-36,-0.13615241756149668,7.894510010812378e-34,True,18.03537363407839
training,2508,3633,0.40840254030288226,40.84025403028823,0.452457037026415,0.3240350440872721,0.12842199293914291,12.842199293914291,0.10837642858753496,0.14846755729075087,10.837642858753496,14.846755729075086,12.559457944251923,5169.908025326974,1.16444089879513e-35,0.16002224263392242,3.638877808734781e-33,True,12.842199293914291
industry,1810,4331,0.29474027031428107,29.474027031428108,0.2861493529910325,0.4142348730356821,-0.12808552004464963,-12.808552004464962,-0.1484480974778235,-0.10772294261147576,-14.84480974778235,-10.772294261147577,-12.332569809167662,3804.0437631669424,2.7119634028314864e-34,-0.14803959811298306,7.976362949504372e-32,True,12.808552004464962
patent,241,5900,0.039244422732453994,3.9244422732453996,0.16123625107027595,0.3852751911056562,-0.22403894003538027,-22.403894003538028,-0.2562114695902716,-0.19186641048048897,-25.621146959027158,-19.186641048048898,-13.704556145467375,296.1308429112912,1.9267220217050034e-33,-0.11028146294148942,5.352005615847232e-31,True,22.403894003538028
patents,169,5972,0.027519947891222928,2.7519947891222927,0.12266131304592841,0.38366574047664875,-0.26100442743072033,-26.100442743072033,-0.2962245503503559,-0.22578430451108478,-29.62245503503559,-22.578430451108478,-14.61331131551919,199.4286411891516,2.3396606020464526e-33,-0.10824195021329228,6.15700158433277e-31,True,26.100442743072033
education,2010,4131,0.32730825598436736,32.73082559843674,0.4649660966452011,0.3334300919328138,0.1315360047123873,13.15360047123873,0.11028382450808602,0.15278818491668858,11.028382450808602,15.278818491668858,12.134704730077278,3756.184218337057,2.8774535082240717e-33,0.1564641174695357,7.193633770560179e-31,True,13.15360047123873
revenue,537,5604,0.08744504152418173,8.744504152418173,0.21146922981389826,0.3922952511815212,-0.18082602136762294,-18.082602136762294,-0.20895775117520698,-0.1526942915600389,-20.8957751175207,-15.269429156003888,-12.61955317969992,719.2830498792362,4.00957260393884e-33,-0.12949160541189284,9.54660143794962e-31,True,18.082602136762294
cost,1585,4556,0.25810128643543395,25.810128643543393,0.28245464840102064,0.4091946765398794,-0.12674002813885876,-12.674002813885876,-0.14743027114261972,-0.1060497851350978,-14.743027114261972,-10.60497851350978,-12.010478429633606,3205.6247322022327,1.5468023236069638e-32,-0.1405933477898796,3.515459826379463e-30,True,12.674002813885876
technologies,878,5263,0.14297345709167888,14.297345709167889,0.2440625338973858,0.39857394247946104,-0.15451140858207524,-15.451140858207523,-0.17937084892093955,-0.12965196824321093,-17.937084892093953,-12.965196824321094,-12.193151736064786,1319.0631746660526,1.7596005888838882e-32,-0.13710995140528032,3.8252186714867135e-30,True,15.451140858207523
industrial,751,5390,0.12229278619117408,12.229278619117407,0.23634674464548358,0.39600837825650276,-0.15966163361101918,-15.966163361101918,-0.18522221495303218,-0.13410105226900618,-18.522221495303217,-13.410105226900617,-12.256285491625254,1093.5667427255398,1.8781024082319615e-32,-0.13260484793725358,3.912713350483253e-30,True,15.966163361101918
usd,642,5499,0.10454323400097704,10.454323400097703,0.22563774313361998,0.3940938594179894,-0.16845611628436943,-16.845611628436945,-0.19555222696998453,-0.14136000559875433,-19.555222696998452,-14.136000559875434,-12.201718881159689,886.8712386331154,9.132185590562234e-32,-0.13065939412619312,1.8264371181124468e-29,True,16.845611628436945
experiences,973,5168,0.15844325028496986,15.844325028496986,0.5224799752035106,0.3489954621049327,0.17348451309857793,17.348451309857793,0.14506346453129237,0.2019055616658635,14.506346453129238,20.190556166586347,11.974984573475224,1294.482012019979,2.0490714948616555e-31,0.16059161528013247,3.940522105503184e-29,True,17.348451309857793
software,671,5470,0.10926559192313956,10.926559192313956,0.23036009398349838,0.3944076674530861,-0.1640475734695877,-16.40475734695877,-0.1909020712132163,-0.1371930757259591,-19.09020712132163,-13.719307572595909,-11.988469107232882,934.4825249597679,6.625445895381778e-31,-0.12973860273171753,1.2269344250706996e-28,True,16.40475734695877
community,2502,3639,0.40742550073277967,40.74255007327797,0.4469253224349148,0.32805012566615865,0.11887519676875613,11.887519676875613,0.09876749287516699,0.13898290066234528,9.876749287516699,13.898290066234528,11.589885053747567,5140.452763501163,1.1129059915010129e-30,0.1480711370940992,1.9873321276803802e-28,True,11.887519676875613
awareness,1999,4142,0.3255170167725126,32.55170167725126,0.46174004834585125,0.33533636103040837,0.12640368731544288,12.640368731544289,0.10497205443883899,0.14783532019204676,10.4972054438839,14.783532019204676,11.563671900661321,3671.663032578718,2.1039523890747693e-30,0.15014665781398237,3.62750411909443e-28,True,12.640368731544289
customers,549,5592,0.0893991206643869,8.93991206643869,0.21938935381558333,0.39190572403193,-0.1725163702163467,-17.251637021634668,-0.2008866100923335,-0.1441461303403599,-20.08866100923335,-14.41461303403599,-11.938071821982044,731.8869648273624,3.842754642744825e-30,-0.12477987543074254,6.404591071241375e-28,True,17.251637021634668
systems,1394,4747,0.22699886012050155,22.699886012050154,0.27794442045328194,0.4054196422834281,-0.12747522183014615,-12.747522183014615,-0.1492672983899606,-0.10568314527033168,-14.926729838996062,-10.568314527033168,-11.47049709927169,2540.1264588445774,9.88154205346777e-30,-0.13536651910662983,1.5937971053980275e-27,True,12.747522183014615
learning,1835,4306,0.29881126852304185,29.881126852304185,0.46437042370284876,0.3390296880019927,0.12534073570085608,12.534073570085608,0.10346715667369016,0.147214314728022,10.346715667369017,14.721431472802198,11.235203239444271,3276.671063634144,9.130778747721919e-29,0.14544264660796158,1.4266841793315498e-26,True,12.534073570085608
